ParishCodeB;ParishCodeA;location_id
160420;160420;2270
160421;160421;2271
160422;160422;2272
160423;160423;2273
160424;160424;2274
160427;160427;2275
160428;160428;2276
160431;160431;2277
160434;160434;2278
160435;160435;2279
160436;160436;2280
160437;160437;2281
160438;160438;2282
160439;160439;2283
160440;160440;2284
160501;160501;2285
160503;160503;2286
160505;160505;2287
160507;160507;2288
160510;160510;2289
160513;160513;2290
160514;160514;2291
160515;160515;2292
160519;160519;2293
160520;160520;2294
160522;160522;2295
160523;160523;2296
160524;160524;2297
160525;160525;2298
160526;160526;2299
160521;160521;2300
160601;160601;2301
160602;160602;2302
160603;160603;2303
160604;160604;2304
160606;160606;2305
160611;160611;2306
160612;160612;2307
160613;160613;2308
160614;160614;2309
160619;160619;2310
160627;160627;2311
160626;160626;2312
160628;160628;2313
160629;160629;2314
160630;160630;2315
160623;160623;2316
160624;160624;2317
160701;160701;2318
160752;160752;2319
160704;160704;2320
160753;160753;2321
160754;160754;2322
160755;160755;2323
160707;160707;2324
160708;160708;2325
160709;160709;2326
160710;160710;2327
160756;160756;2328
160757;160757;2329
160713;160713;2330
160714;160714;2331
160716;160716;2332
160717;160717;2333
160718;160718;2334
160719;160719;2335
160721;160721;2336
160758;160758;2337
160724;160724;2338
160726;160726;2339
160727;160727;2340
160728;160728;2341
160729;160729;2342
160759;160759;2343
160760;160760;2344
160734;160734;2345
160744;160744;2346
160747;160747;2347
160737;160737;2348
160739;160739;2349
160740;160740;2350
160742;160742;2351
160743;160743;2352
160703;160703;2353
160745;160745;2354
160746;160746;2355
160750;160750;2356
160802;160802;2357
160803;160803;2358
160805;160805;2359
160806;160806;2360
160808;160808;2361
160812;160812;2362
160817;160817;2363
160818;160818;2364
160819;160819;2365
160820;160820;2366
160816;160816;2367
160901;160901;2368
160902;160902;2369
160903;160903;2370
160904;160904;2371
160905;160905;2372
160908;160908;2373
160910;160910;2374
160940;160940;2375
160911;160911;2376
160914;160914;2377
160915;160915;2378
160920;160920;2379
160922;160922;2380
160925;160925;2381
160926;160926;2382
160928;160928;2383
160923;160923;2384
160941;160941;2385
160942;160942;2386
160943;160943;2387
160944;160944;2388
160945;160945;2389
160946;160946;2390
160947;160947;2391
160948;160948;2392
160938;160938;2393
160935;160935;2394
161003;161003;2395
161004;161004;2396
161006;161006;2397
161007;161007;2398
161009;161009;2399
161012;161012;2400
161013;161013;2401
161016;161016;2402
161017;161017;2403
161018;161018;2404
161019;161019;2405
170101;170101;2406
170107;170107;2407
170108;170108;2408
170109;170109;2409
170112;170112;2410
170113;170113;2411
170114;170114;2412
170120;170120;2413
170121;170121;2414
170122;170122;2415
170123;170123;2416
170116;170116;2417
170117;170117;2418
170118;170118;2419
170217;170217;2420
170218;170218;2421
170203;170203;2422
170219;170219;2423
170220;170220;2424
170208;170208;2425
170210;170210;2426
170213;170213;2427
170215;170215;2428
170221;170221;2429
170301;170301;2430
170302;170302;2431
170305;170305;2432
170309;170309;2433
170310;170310;2434
170312;170312;2435
170313;170313;2436
170314;170314;2437
170316;170316;2438
170317;170317;2439
170318;170318;2440
170320;170320;2441
170321;170321;2442
170322;170322;2443
170353;170353;2444
170324;170324;2445
170327;170327;2446
170329;170329;2447
170350;170350;2448
170330;170330;2449
170331;170331;2450
170333;170333;2451
170334;170334;2452
170340;170340;2453
170356;170356;2454
170355;170355;2455
170357;170357;2456
170354;170354;2457
170358;170358;2458
170359;170359;2459
170360;170360;2460
170361;170361;2461
170341;170341;2462
170343;170343;2463
170344;170344;2464
170345;170345;2465
170347;170347;2466
170349;170349;2467
